Age,EstimatedSalary,Purchased,Purchased_Pred,Purchased_Pred_Prob_0,Purchased_Pred_Prob_1
-0.49618606177797403,0.5602137519510257,,0.0,0.5,0.5
0.23890440011532102,-0.5913367381705271,0.0,0.0,1.0,0.0
-0.03675452309466462,0.18673791731700856,,0.0,0.75,0.25
-0.49618606177797403,0.3112298621950143,,0.0,1.0,0.0
-0.03675452309466462,-0.5913367381705271,0.0,0.0,1.0,0.0
-0.7718449849879597,-1.52502632475557,0.0,0.0,1.0,0.0
-0.40429975404131213,-1.6806412558530772,0.0,0.0,1.0,0.0
0.05513178464199726,2.334223966462607,1.0,1.0,0.0,1.0
-1.5988217546179166,-0.03112298621950143,,0.0,1.0,0.0
1.065881169745278,-0.8091976417070371,,1.0,0.25,0.75
-0.49618606177797403,-0.6224597243900286,0.0,0.0,1.0,0.0
-0.6799586772512978,-0.43572180707302,,0.0,1.0,0.0
0.14701809237865915,-0.43572180707302,0.0,0.0,1.0,0.0
0.3307907078519829,0.24898388975601143,,0.0,0.75,0.25
-1.415049139144593,0.5290907657315242,0.0,0.0,1.0,0.0
-0.3124134463046503,1.4939033385360685,0.0,1.0,0.125,0.875
0.14701809237865915,0.24898388975601143,,0.0,0.875,0.125
-1.5069354468812548,0.49796777951202287,,0.0,1.0,0.0
1.800971631638573,1.8985021593895872,,1.0,0.125,0.875
-0.03675452309466462,-1.4627803523165672,,0.0,1.0,0.0
-0.03675452309466462,-0.6847056968290315,1.0,0.0,1.0,0.0
1.065881169745278,2.334223966462607,,1.0,0.25,0.75
0.5145633233253066,-0.5602137519510257,,0.0,0.75,0.25
1.065881169745278,1.1204275039020515,,1.0,0.25,0.75
-1.1393902159346072,-1.2760424349995585,,0.0,1.0,0.0
1.2496537852186018,2.240855007804103,,1.0,0.25,0.75
-0.6799586772512978,0.5602137519510257,1.0,0.0,0.875,0.125
-0.5880723695146359,0.34235284841451574,,0.0,1.0,0.0
0.14701809237865915,-0.21786090353651,,0.0,1.0,0.0
-0.3124134463046503,0.5290907657315242,,0.0,0.5,0.5
-1.323162831407931,0.5913367381705271,,0.0,0.875,0.125
0.14701809237865915,0.3112298621950143,,0.0,0.875,0.125
1.9847442471118968,-0.28010687597551287,,1.0,0.125,0.875
0.14701809237865915,-0.49796777951202287,,0.0,1.0,0.0
-1.0475039081979454,-0.34235284841451574,,0.0,1.0,0.0
-1.5988217546179166,-0.5290907657315242,,0.0,1.0,0.0
-1.231276523671269,0.3734758346340171,,0.0,1.0,0.0
-0.12864083083132652,-0.8091976417070371,0.0,0.0,1.0,0.0
-0.40429975404131213,-1.08930451768255,,0.0,1.0,0.0
1.2496537852186018,-1.0270585452435472,,1.0,0.125,0.875
-0.7718449849879597,0.5913367381705271,,0.0,1.0,0.0
0.5145633233253066,-0.5290907657315242,,0.0,0.875,0.125
-0.7718449849879597,0.46684479329252143,,0.0,1.0,0.0
-0.03675452309466462,-1.52502632475557,,0.0,1.0,0.0
0.6983359387986304,1.3382884074385615,,1.0,0.0,1.0
-0.7718449849879597,-0.34235284841451574,0.0,0.0,1.0,0.0
0.14701809237865915,0.34235284841451574,,0.0,0.875,0.125
1.5253127084285873,0.65358271060953,,1.0,0.0,1.0
-0.8637312927246216,-1.2137964625605557,,0.0,1.0,0.0
1.2496537852186018,0.5290907657315242,,1.0,0.125,0.875
1.9847442471118968,1.6495182696335757,,1.0,0.0,1.0
